001-002 Abbie
513-514 Kirstan
515-516 Kirsten
517-518 Kirstin
519-520 Kirstyn
521-522 Kitty
523-524 Klara
525-526 Klare
527-528 Konusch
529-530 Kristen(a)
531-532 Kristyn
533-534 Kunegunde
535-536 Kunne
537-538 Lavin(i)a
539-540 Leanora
541-542 Lena
543-544 Leni
545-546 Lenne
547-548 Lenora
549-550 Lenore
551-552 Leonor(e)
553-554 Leticia
555-556 Letty
557-558 Libe(ste)
559-560 Libusch
561-562 Liphilt
563-564 Lis(a)(beth)
565-566 Lise
567-568 Lizzie
569-570 Lorinda
571-572 Lorna
573-574 Lucie
575-576 Lucinda
577-578 Lucretia
579-580 Ludmilla
581-582 Luise
583-584 Lusche
585-586 Mabel
587-588 Madge
589-590 Magda(lena)
591-592 Magdalene
593-594 Magdalyn
595-596 Maggie
597-598 Maghilda
599-600 Maglind
601-602 Maglyn
603-604 Magreta
605-606 Magunda
607-608 Maida
609-610 Maneth
611-612 Manith
613-614 Marg(a)rethe
615-616 Marg(a)ritha
617-618 Marg(ue)rite
619-620 Margaret(he)
621-622 Margret(a)
623-624 Maria(nne)
625-626 Marie(tta)
627-628 Marien
629-630 Marlene
631-632 Marline
633-634 Marlyn
635-636 Mart(h)a
637-638 Marte
639-640 Martina
641-642 Marusch
643-644 Mathilda
645-646 Mathilde
647-648 Maude
649-650 May
651-652 Mechthild
653-654 Meg
655-656 Melicent
657-658 Merlin
659-660 Mina
661-662 Miranda
663-664 Moll
665-666 Mute
667-668 Natasha
669-670 Natassia
671-672 Nathilda
673-674 Nele(ke)
675-676 Nellie
677-678 Nethe
679-680 Nora
681-682 Nyze
683-684 Olga
685-686 Ophelia
687-688 Osanna
689-690 Ostelle
691-692 Osterhild(is)
693-694 Ostia
695-696 Otilge
697-698 Ottagunda
699-700 Ottaline
701-702 Ottil(l)(i)a
703-704 Ottilda
705-706 Ottilie
707-708 Ottilyn
709-710 Pedra
711-712 Perdita
713-714 Pergale
715-716 Pergunda
717-718 Petr(onell)a
719-720 Phie
721-722 Philomelia
723-724 Regina
725-726 Regine
727-728 Reikhilda
729-730 Renata
731-732 Renate
733-734 Ros(ann)e
735-736 Rosabel
737-738 Rosabella
739-740 Rosale
741-742 Rosalia
743-744 Rosalin(de)
745-746 Rosamunde
747-748 Roz(hilda)
749-750 Salina
751-752 Salmei
753-754 Salome(a)
755-756 Saltza
757-758 Sanne
759-760 Selena
761-762 Selene
763-764 Sig(is)munda
765-766 Sigmara
767-768 Sigmare
769-770 Sigmaris
771-772 Sigrud
773-774 Silma
775-776 Solla
777-778 Solveig
779-780 Sophie
781-782 Susanna
783-784 Susanne
785-786 Susi
787-788 Sziell(e)
789-790 Szina
791-792 Szine
793-794 Talima
795-796 Theda
797-798 Theodora
799-800 Therese
801-802 Thilde
803-804 Thylda
805-806 Tilde
807-808 Tilea
809-810 Ulla
811-812 Ulrica
813-814 Ulrike
815-816 Ursula
817-818 Uschi
819-820 Ute
821-822 Valeria
823-824 Verena
825-826 Veronica
827-828 Wanda
829-830 Wertha
831-832 Wilfrieda
833-834 Wilhelmina
835-836 Win(i)fred
837-838 Wolfhilde
839-840 Ze(me)lda
841-842 Zena
